date,covid,influenza,pneumonia,sepsis,MRSA,isPartial
2023-11-26,5,0,1,0,0,False
2023-12-03,5,0,1,0,0,False
2023-12-10,5,0,1,0,0,False
2023-12-17,7,0,1,0,0,False
2023-12-24,6,1,1,0,0,False
2023-12-31,6,1,1,0,0,False
2024-01-07,5,1,1,0,0,False
2024-01-14,4,0,1,0,0,False
2024-01-21,4,0,1,0,0,False
2024-01-28,4,0,1,0,0,False
2024-02-04,3,0,1,0,0,False
2024-02-11,3,0,1,0,0,False
2024-02-18,3,0,1,0,0,False
2024-02-25,3,0,1,0,0,False
2024-03-03,3,0,1,0,0,False
2024-03-10,2,0,1,0,0,False
2024-03-17,2,0,1,0,0,False
2024-03-24,2,0,1,0,0,False
2024-03-31,2,0,1,0,0,False
2024-04-07,2,0,1,0,0,False
2024-04-14,2,0,1,0,0,False
2024-04-21,2,0,1,0,0,False
2024-04-28,3,0,1,0,0,False
2024-05-05,2,0,1,0,0,False
2024-05-12,2,0,1,0,0,False
2024-05-19,2,0,1,0,0,False
2024-05-26,2,0,1,0,0,False
2024-06-02,2,0,1,0,0,False
2024-06-09,3,0,1,0,0,False
2024-06-16,3,0,1,0,0,False
2024-06-23,3,0,1,0,0,False
2024-06-30,3,0,0,0,0,False
2024-07-07,3,0,1,0,0,False
2024-07-14,4,0,0,0,0,False
2024-07-21,4,0,1,0,0,False
2024-07-28,3,0,0,0,0,False
2024-08-04,4,0,0,0,0,False
2024-08-11,4,0,0,0,0,False
2024-08-18,4,0,1,0,0,False
2024-08-25,4,0,1,0,0,False
2024-09-01,3,0,1,0,0,False
2024-09-08,3,0,1,0,0,False
2024-09-15,4,0,1,0,0,False
2024-09-22,3,0,1,0,0,False
2024-09-29,3,0,1,0,0,False
2024-10-06,3,0,1,0,0,False
2024-10-13,3,0,1,0,0,False
2024-10-20,3,0,1,0,0,False
2024-10-27,2,0,1,0,0,False
2024-11-03,2,0,1,0,0,False
2024-11-10,2,0,1,0,0,False
2024-11-17,2,0,1,0,0,False
2024-11-24,2,0,1,0,0,False
2024-12-01,2,0,1,0,0,False
2024-12-08,2,0,1,0,0,False
2024-12-15,2,0,1,0,0,False
2024-12-22,2,0,1,0,0,False
2024-12-29,2,1,1,0,0,False
2025-01-05,2,1,1,0,0,False
2025-01-12,2,1,1,0,0,False
2025-01-19,2,1,1,0,0,False
2025-01-26,2,1,1,0,0,False
2025-02-02,2,1,1,0,0,False
2025-02-09,2,1,1,0,0,False
2025-02-16,2,1,1,0,0,False
2025-02-23,2,1,1,0,0,False
2025-03-02,2,1,1,0,0,False
2025-03-09,2,1,1,0,0,False
2025-03-16,2,0,1,0,0,False
2025-03-23,2,0,1,0,0,False
2025-03-30,2,0,1,0,0,False
2025-04-06,2,0,1,0,0,False
2025-04-13,1,0,1,0,0,False
2025-04-20,2,0,1,0,0,False
2025-04-27,2,0,1,0,0,False
2025-05-04,1,0,1,0,0,False
2025-05-11,2,0,1,0,0,False
2025-05-18,3,0,1,0,0,False
2025-05-25,3,0,1,0,0,False
2025-06-01,2,0,1,0,0,False
2025-06-08,2,0,0,0,0,False
2025-06-15,2,0,0,0,0,False
2025-06-22,2,0,0,0,0,False
2025-06-29,2,0,0,0,0,False
2025-07-06,2,0,0,0,0,False
2025-07-13,2,0,0,0,0,False
2025-07-20,2,0,0,0,0,False
2025-07-27,2,0,0,0,0,False
2025-08-03,2,0,0,0,0,False
2025-08-10,2,0,0,0,0,False
2025-08-17,3,0,1,0,0,False
2025-08-24,3,0,0,0,0,False
2025-08-31,3,0,1,0,0,False
2025-09-07,3,0,1,0,0,False
2025-09-14,3,0,1,0,0,False
2025-09-21,3,0,1,0,0,False
2025-09-28,3,0,1,0,0,False
2025-10-05,3,1,1,0,0,False
2025-10-12,2,1,1,0,0,False
2025-10-19,2,1,1,0,0,False
2025-10-26,2,1,1,0,0,False
2025-11-02,2,1,1,0,0,False
2025-11-09,2,1,1,0,0,False
2025-11-16,2,1,1,0,0,False
2025-11-23,2,1,1,0,0,False
2025-11-30,2,1,1,0,0,False
2025-12-07,2,1,1,0,0,False
2025-12-14,2,1,1,0,0,False
2025-12-21,2,1,1,0,0,False
2025-12-28,2,1,1,0,0,False
2026-01-04,1,1,1,0,0,False
2026-01-11,2,1,1,0,0,False
2026-01-18,1,1,1,0,0,False
2026-01-25,2,1,1,0,0,False
2026-02-01,1,1,1,0,0,False
2026-02-08,1,1,1,0,0,False
2026-02-15,2,0,1,0,0,True
